date,P,T,E,Q,Qmm
16/06/1984,1.3,12.7,3.1,4190,1.0056
17/06/1984,0,11.7,2.9,3440,0.8256
18/06/1984,0,16.4,3.7,2440,0.5856
19/06/1984,0.2,15.2,3.5,2280,0.5472
20/06/1984,0,14.6,3.4,1960,0.4704
21/06/1984,0,15.4,3.6,2120,0.5088
22/06/1984,0,15.5,3.6,1800,0.432
23/06/1984,0,12.3,3,1640,0.3936
24/06/1984,0,11.8,2.9,1520,0.3648
25/06/1984,0,17.1,3.9,1640,0.3936
26/06/1984,0.5,19.9,4.4,1520,0.3648
27/06/1984,8.2,15.4,3.6,1520,0.3648
28/06/1984,0,14.1,3.3,1520,0.3648
29/06/1984,19,12.7,3.1,1520,0.3648
30/06/1984,0,11.1,2.8,3690,0.8856
01/07/1984,6.6,12.8,3.1,2280,0.5472
02/07/1984,0.7,11.5,2.9,1960,0.4704
03/07/1984,0.4,15.2,3.5,1960,0.4704
04/07/1984,3.4,17.2,3.8,1800,0.432
05/07/1984,10.2,16.5,3.7,1960,0.4704
06/07/1984,0,16.5,3.7,3440,0.8256
07/07/1984,0,18.3,4,1800,0.432
08/07/1984,0,21.6,4.6,1520,0.3648
09/07/1984,19.9,20.6,4.4,1410,0.3384
10/07/1984,0,11.6,2.8,2840,0.6816
11/07/1984,0,11.9,2.9,2640,0.6336
12/07/1984,0,13.4,3.1,1800,0.432
13/07/1984,0,14.7,3.3,1520,0.3648
14/07/1984,0,15.4,3.5,1410,0.3384
15/07/1984,0,16.6,3.6,1300,0.312
16/07/1984,0.4,18,3.9,1190,0.2856
17/07/1984,2.2,20.5,4.3,1190,0.2856
18/07/1984,2.8,20,4.2,1190,0.2856
19/07/1984,17.7,18.2,3.9,1410,0.3384
20/07/1984,7,16.9,3.7,4190,1.0056
21/07/1984,9.7,17.3,3.7,3240,0.7776
22/07/1984,0.2,19.2,4,2640,0.6336
23/07/1984,1.5,19.9,4.1,1960,0.4704
24/07/1984,7.6,19.2,4,2280,0.5472
25/07/1984,0.2,18.3,3.8,2440,0.5856
26/07/1984,0.1,17.5,3.7,2120,0.5088
27/07/1984,0,13.4,3,2280,0.5472
28/07/1984,0,12,2.8,1960,0.4704
29/07/1984,0,12.3,2.8,1520,0.3648
30/07/1984,0.2,14.7,3.2,1520,0.3648
31/07/1984,0,16.1,3.4,1410,0.3384
01/08/1984,2.3,14.8,3.2,1300,0.312
02/08/1984,5.6,12.6,2.8,1410,0.3384
03/08/1984,3.9,12.5,2.8,1800,0.432
04/08/1984,0,15.2,3.2,1960,0.4704
05/08/1984,0,17.6,3.5,1640,0.3936
06/08/1984,0,20.5,4,1410,0.3384
07/08/1984,0.1,20.6,4,1080,0.2592
08/08/1984,17.9,21.1,4,1000,0.24
09/08/1984,1.3,19.7,3.8,2440,0.5856
10/08/1984,2.4,20,3.8,1800,0.432
11/08/1984,0.4,19.1,3.6,1300,0.312
12/08/1984,0.3,21.2,3.9,1080,0.2592
13/08/1984,10.1,17.4,3.4,1080,0.2592
14/08/1984,1.8,15.9,3.1,1800,0.432
15/08/1984,17.8,14.5,2.9,1520,0.3648
16/08/1984,6,13,2.6,4440,1.0656
17/08/1984,5.3,13.5,2.7,2640,0.6336
18/08/1984,0.7,12.9,2.6,3940,0.9456
19/08/1984,1.6,9.9,2.1,2280,0.5472
20/08/1984,0,9.6,2.1,1960,0.4704
21/08/1984,0.1,12.6,2.5,2120,0.5088
22/08/1984,0,12.9,2.5,2440,0.5856
23/08/1984,0,11.1,2.3,2280,0.5472
24/08/1984,0,12.7,2.4,1960,0.4704
25/08/1984,0,14.5,2.7,1640,0.3936
26/08/1984,6.8,16.7,3,1960,0.4704
27/08/1984,2.2,16.8,3,1640,0.3936
28/08/1984,6.8,15.2,2.7,2120,0.5088
29/08/1984,5.9,13.8,2.5,2280,0.5472
30/08/1984,2.3,13.8,2.5,2840,0.6816
31/08/1984,0.5,13.8,2.5,2280,0.5472
01/09/1984,0.4,13.6,2.4,2280,0.5472
02/09/1984,0,12,2.2,1410,0.3384
03/09/1984,0,9.9,1.9,1410,0.3384
04/09/1984,0,12.7,2.3,1640,0.3936
05/09/1984,3.7,14.6,2.5,1800,0.432
06/09/1984,1.9,15.8,2.6,2640,0.6336
07/09/1984,5.1,15.2,2.5,2280,0.5472
08/09/1984,0.2,15,2.5,1800,0.432
09/09/1984,4.8,16.7,2.7,1800,0.432
10/09/1984,5.2,10.8,1.9,1960,0.4704
11/09/1984,0,6.6,1.4,2280,0.5472
12/09/1984,0,7.4,1.5,1960,0.4704
13/09/1984,12.2,8.4,1.6,1640,0.3936
14/09/1984,13.1,7.2,1.4,2120,0.5088
15/09/1984,0,9,1.6,6950,1.668
16/09/1984,0.1,7.7,1.4,3240,0.7776
17/09/1984,1.3,8.8,1.6,2640,0.6336
18/09/1984,4.6,7.8,1.4,2840,0.6816
19/09/1984,1,7.8,1.4,2640,0.6336
20/09/1984,0,8.8,1.5,2840,0.6816
21/09/1984,0,9.9,1.6,2840,0.6816
22/09/1984,0,12.1,1.8,2440,0.5856
23/09/1984,0,12.3,1.8,1410,0.3384
24/09/1984,0,8.5,1.4,1640,0.3936
25/09/1984,0,5.7,1.1,1640,0.3936
26/09/1984,0,5,1,1800,0.432
27/09/1984,0,5.8,1.1,1640,0.3936
28/09/1984,0,6,1.1,1520,0.3648
29/09/1984,0,7.2,1.2,1410,0.3384
30/09/1984,0,10,1.5,1410,0.3384
01/10/1984,0,11.8,1.6,1300,0.312
02/10/1984,0,11.4,1.6,1190,0.2856
03/10/1984,0,9.7,1.4,1190,0.2856
04/10/1984,0,7.7,1.2,1080,0.2592
05/10/1984,0,9.7,1.3,1190,0.2856
06/10/1984,0,13,1.6,1080,0.2592
07/10/1984,0,12.2,1.5,1000,0.24
08/10/1984,0,10.7,1.4,1080,0.2592
09/10/1984,0,9.9,1.3,1190,0.2856
10/10/1984,33.8,11.4,1.4,1190,0.2856
11/10/1984,12.9,6.2,1,5000,1.2
12/10/1984,0.5,8.4,1.1,5950,1.428
13/10/1984,0.3,11.9,1.4,3040,0.7296
14/10/1984,0,8.8,1.1,2280,0.5472
15/10/1984,0,6.7,0.9,1960,0.4704
16/10/1984,0,5.4,0.8,1800,0.432
17/10/1984,0,8.4,1.1,1520,0.3648
18/10/1984,0,5.8,0.8,1640,0.3936
19/10/1984,0,3.4,0.6,1520,0.3648
20/10/1984,0,3.8,0.7,1640,0.3936
21/10/1984,0,0.8,0.4,1520,0.3648
22/10/1984,2.6,3.2,0.6,1640,0.3936
23/10/1984,0,7.6,0.9,1960,0.4704
24/10/1984,0,6.8,0.8,2120,0.5088
25/10/1984,0,7.8,0.9,1960,0.4704
26/10/1984,2.7,12.3,1.2,2440,0.5856
27/10/1984,26.2,12.4,1.2,2440,0.5856
28/10/1984,2.2,6.5,0.8,3690,0.8856
29/10/1984,0,4.2,0.6,2640,0.6336
30/10/1984,0,5.9,0.7,2840,0.6816
31/10/1984,0,10.1,1,2840,0.6816
01/11/1984,0,10,1,1960,0.4704
02/11/1984,0,9,0.9,2640,0.6336
03/11/1984,0,10.2,1,2640,0.6336
04/11/1984,0,10.2,0.9,1960,0.4704
05/11/1984,0,7.9,0.8,1960,0.4704
06/11/1984,0,6.8,0.7,1960,0.4704
07/11/1984,0,6.5,0.7,1800,0.432
08/11/1984,0,7.1,0.7,1640,0.3936
09/11/1984,0,7.8,0.7,1520,0.3648
10/11/1984,10.3,9.8,0.8,1800,0.432
11/11/1984,3.3,4.6,0.5,2120,0.5088
12/11/1984,4.3,4.9,0.5,2280,0.5472
13/11/1984,5.8,10.6,0.9,2840,0.6816
14/11/1984,7,11.5,0.9,3440,0.8256
15/11/1984,0.1,1.5,0.3,3940,0.9456
16/11/1984,3.5,6.7,0.6,4700,1.128
17/11/1984,13,12.8,0.9,3240,0.7776
18/11/1984,0,0.7,0.3,3440,0.8256
19/11/1984,10.6,3.4,0.4,3940,0.9456
20/11/1984,2.3,8.3,0.7,10200,2.448
21/11/1984,12.9,7,0.6,10600,2.544
22/11/1984,9.5,10.4,0.7,16200,3.888
23/11/1984,1.3,4.4,0.5,17900,4.296
24/11/1984,3.5,1.3,0.3,15700,3.768
25/11/1984,1.1,0.4,0.3,14000,3.36
26/11/1984,0,-1.3,0.2,12200,2.928
27/11/1984,0,-3.2,0.1,10600,2.544
28/11/1984,0,0.7,0.3,9050,2.172
29/11/1984,1,4.4,0.4,8700,2.088
30/11/1984,4.8,6.2,0.5,9050,2.172
01/12/1984,0,4.5,0.4,8700,2.088
02/12/1984,0.5,6.8,0.5,8300,1.992
03/12/1984,10.1,6.1,0.5,8300,1.992
04/12/1984,2.2,4,0.4,10200,2.448
05/12/1984,0,6.2,0.5,8700,2.088
06/12/1984,0.3,6.5,0.5,8300,1.992
07/12/1984,5.7,7.4,0.5,7950,1.908
08/12/1984,27.9,2.9,0.3,11400,2.736
09/12/1984,0,-0.1,0.2,17500,4.2
10/12/1984,0,-0.3,0.2,12600,3.024
11/12/1984,0,0.9,0.2,12200,2.928
12/12/1984,0,2,0.3,14000,3.36
13/12/1984,0,2.1,0.3,11800,2.832
14/12/1984,0,0.6,0.2,10600,2.544
15/12/1984,0,4.7,0.4,10200,2.448
16/12/1984,0,4.4,0.4,9050,2.172
17/12/1984,0,0.5,0.2,7950,1.908
18/12/1984,0,-0.3,0.2,6950,1.668
19/12/1984,0,-5.3,0,6250,1.5
20/12/1984,0,-3.6,0,6950,1.668
21/12/1984,0,-3.4,0.1,5300,1.272
22/12/1984,0,-2.9,0.1,4440,1.0656
23/12/1984,0,-2.2,0.1,4700,1.128
24/12/1984,0,-0.7,0.2,4440,1.0656
25/12/1984,0,1.7,0.3,6600,1.584
26/12/1984,0,8.4,0.6,6600,1.584
27/12/1984,4,9.4,0.6,6600,1.584
28/12/1984,5.9,4.9,0.4,6600,1.584
29/12/1984,0.1,2.6,0.3,6600,1.584
30/12/1984,0.3,-1,0.2,6600,1.584
31/12/1984,0,-2.1,0.1,6600,1.584
01/01/1985,0,-3.4,0.1,2470,0.5928
02/01/1985,0,-3,0.1,2470,0.5928
03/01/1985,0,-3.6,0.1,2470,0.5928
04/01/1985,0,-2.1,0.1,2470,0.5928
05/01/1985,0,-2.4,0.1,2470,0.5928
06/01/1985,0,-2.3,0.1,2470,0.5928
07/01/1985,0,-3.2,0.1,2470,0.5928
08/01/1985,0,-3.8,0,2470,0.5928
09/01/1985,0,-4.3,0,2470,0.5928
10/01/1985,0,-4.9,0,2470,0.5928
11/01/1985,0,-3.8,0.1,2470,0.5928
12/01/1985,0,-3.2,0.1,2470,0.5928
13/01/1985,5.8,2.6,0.3,2470,0.5928
14/01/1985,5.4,5.2,0.5,2820,0.6768
15/01/1985,2.4,5.2,0.5,4050,0.972
16/01/1985,0.3,1.9,0.3,3630,0.8712
17/01/1985,11.5,2.9,0.4,3420,0.8208
18/01/1985,1.8,1.5,0.3,4830,1.1592
19/01/1985,0.1,-0.6,0.2,4050,0.972
20/01/1985,4,2.7,0.4,4050,0.972
21/01/1985,1.3,3.6,0.4,3630,0.8712
22/01/1985,0,-0.7,0.2,4310,1.0344
23/01/1985,2.3,-0.6,0.2,4570,1.0968
24/01/1985,0,1.2,0.3,4310,1.0344
25/01/1985,0,-1.7,0.2,4310,1.0344
26/01/1985,5.6,-0.9,0.2,4050,0.972
27/01/1985,40.1,3.4,0.5,11900,2.856
28/01/1985,0,1.6,0.3,29000,6.96
29/01/1985,1,1.4,0.3,22500,5.4
30/01/1985,5.8,3.9,0.5,20100,4.824
31/01/1985,3.9,2.2,0.4,20100,4.824
01/02/1985,0.1,-0.1,0.3,17300,4.152
02/02/1985,0,-1.2,0.2,15900,3.816
03/02/1985,0,-1.8,0.2,10300,2.472
04/02/1985,0,-0.3,0.3,8700,2.088
05/02/1985,0,0.6,0.3,9100,2.184
06/02/1985,0,-0.6,0.3,8700,2.088
07/02/1985,0,1.6,0.4,6600,1.584
08/02/1985,0,1.9,0.4,6300,1.512
09/02/1985,8,5.2,0.7,6300,1.512
10/02/1985,6.4,0.9,0.4,8000,1.92
11/02/1985,1.1,0.4,0.3,5650,1.356
12/02/1985,10.1,2.7,0.5,6600,1.584
13/02/1985,0.2,2,0.5,10300,2.472
14/02/1985,0,1,0.4,8350,2.004
15/02/1985,2.6,0.6,0.4,8000,1.92
16/02/1985,0.8,-2.7,0.2,8000,1.92
17/02/1985,0,-1.9,0.2,5650,1.356
18/02/1985,8.6,-2,0.2,4570,1.0968
19/02/1985,5.2,-0.4,0.3,7600,1.824
20/02/1985,0.2,0.3,0.4,6600,1.584
21/02/1985,7.2,1.9,0.5,5950,1.428
22/02/1985,3,3.6,0.7,11900,2.856
23/02/1985,12.3,2.3,0.6,14100,3.384
24/02/1985,13.5,-0.1,0.4,17300,4.152
25/02/1985,3.9,-1.5,0.3,15900,3.816
26/02/1985,0.1,-1.9,0.3,16800,4.032
27/02/1985,0,-2.3,0.2,15000,3.6
28/02/1985,0,-3.6,0.1,10700,2.568
01/03/1985,0,-1.2,0.3,9500,2.28
02/03/1985,2.1,0.3,0.4,9100,2.184
03/03/1985,0,0.6,0.5,6900,1.656
04/03/1985,0,3.7,0.8,7250,1.74
05/03/1985,0,5.9,1,7600,1.824
06/03/1985,0.9,4.7,0.9,7600,1.824
07/03/1985,0.1,1.3,0.6,8350,2.004
08/03/1985,0,1.8,0.6,7600,1.824
09/03/1985,0,2.1,0.7,7250,1.74
10/03/1985,0,-0.5,0.4,6300,1.512
11/03/1985,0,-2.1,0.3,4050,0.972
12/03/1985,0.6,-1.8,0.3,6600,1.584
13/03/1985,3.5,-1.8,0.3,6300,1.512
14/03/1985,0.1,-0.2,0.5,5650,1.356
15/03/1985,0,-0.8,0.4,5350,1.284
16/03/1985,0,0.1,0.5,4310,1.0344
17/03/1985,0,-0.7,0.5,4050,0.972
18/03/1985,0,1.9,0.7,3000,0.72
19/03/1985,0,3.2,0.9,4310,1.0344
20/03/1985,0,1.7,0.7,4310,1.0344
21/03/1985,0,5.1,1.1,4050,0.972
22/03/1985,0,7.7,1.4,3630,0.8712
23/03/1985,0,8.6,1.5,3630,0.8712
24/03/1985,2.7,10.1,1.7,3630,0.8712
25/03/1985,6.2,4.8,1.1,3420,0.8208
26/03/1985,0.2,4.5,1.1,5650,1.356
27/03/1985,0,6,1.3,5350,1.284
28/03/1985,3.4,8.7,1.6,4830,1.1592
29/03/1985,0.7,6.1,1.3,5950,1.428
30/03/1985,0.6,3.5,1,6300,1.512
31/03/1985,0,6.1,1.3,4570,1.0968
01/04/1985,0,6.5,1.4,4050,0.972
02/04/1985,5.6,6.1,1.3,5350,1.284
03/04/1985,0.1,2.1,0.9,6600,1.584
04/04/1985,0,1.1,0.8,5100,1.224
05/04/1985,0,5.8,1.3,5100,1.224
06/04/1985,0,8.9,1.7,3840,0.9216
07/04/1985,0,5,1.3,3500,0.84
08/04/1985,0,2.6,1,3200,0.768
09/04/1985,7.1,1.4,0.8,3100,0.744
10/04/1985,0.1,0.2,0.7,3400,0.816
11/04/1985,7.6,1.4,0.8,3600,0.864
12/04/1985,2.5,2.6,1,3700,0.888
13/04/1985,0.1,2.4,1,3500,0.84
14/04/1985,0,2.1,1,3000,0.72
15/04/1985,1.3,4.4,1.3,2470,0.5928
16/04/1985,0,6.2,1.5,3210,0.7704
17/04/1985,0,6,1.5,4570,1.0968
18/04/1985,0.5,6.1,1.6,4830,1.1592
19/04/1985,3.8,3.5,1.2,4300,1.032
20/04/1985,3.6,1.2,0.9,4200,1.008
21/04/1985,1.1,3,1.1,4700,1.128
22/04/1985,7.2,3.1,1.2,4100,0.984
23/04/1985,2.9,5,1.4,4800,1.152
24/04/1985,10.4,5.4,1.5,6500,1.56
25/04/1985,0,5.4,1.5,7700,1.848
26/04/1985,0,7.6,1.8,7000,1.68
27/04/1985,0.4,10.7,2.3,6000,1.44
28/04/1985,4.2,9.9,2.2,5800,1.392
29/04/1985,3.5,11.4,2.4,6600,1.584
30/04/1985,0,14,2.9,6900,1.656
01/05/1985,0.5,15.5,3.1,5950,1.428
02/05/1985,13.8,15.2,3.1,5650,1.356
03/05/1985,0.7,16.7,3.3,11100,2.664
04/05/1985,0,16.7,3.3,9500,2.28
05/05/1985,1.6,13.9,2.9,6900,1.656
06/05/1985,2.4,10.4,2.4,5950,1.428
07/05/1985,7,8.3,2.1,5650,1.356
08/05/1985,3,6.6,1.8,6300,1.512
09/05/1985,0,7.5,2,6300,1.512
10/05/1985,1.5,9.9,2.4,5350,1.284
11/05/1985,0,8.8,2.2,5100,1.224
12/05/1985,0,7.8,2.1,3000,0.72
13/05/1985,0,11,2.6,2300,0.552
14/05/1985,0,15.7,3.3,3630,0.8712
15/05/1985,0.3,15.1,3.3,3420,0.8208
16/05/1985,0.2,14.5,3.2,3420,0.8208
17/05/1985,0,13.5,3,3420,0.8208
18/05/1985,0.2,14.1,3.2,3420,0.8208
19/05/1985,5.8,11.7,2.7,2820,0.6768
20/05/1985,12,13.9,3.1,2130,0.5112
21/05/1985,6,12.3,2.8,4830,1.1592
22/05/1985,3.2,13.6,3.1,4570,1.0968
23/05/1985,1.5,13,3,3210,0.7704
24/05/1985,0,12.3,2.9,2470,0.5928
25/05/1985,0,13.2,3,2000,0.48
26/05/1985,0,16.1,3.5,2000,0.48
27/05/1985,5,18.3,3.9,1610,0.3864
28/05/1985,8.3,13.8,3.1,3210,0.7704
29/05/1985,0,12.3,2.9,3210,0.7704
30/05/1985,0.3,15,3.4,2650,0.636
31/05/1985,15.4,18.1,3.9,2000,0.48
01/06/1985,2.3,14.3,3.3,3840,0.9216
02/06/1985,0,12.3,3,2300,0.552
03/06/1985,0,13.5,3.2,1870,0.4488
04/06/1985,0.1,14.3,3.3,1870,0.4488
05/06/1985,3.6,14,3.3,1870,0.4488
06/06/1985,9.4,15.4,3.5,2000,0.48
07/06/1985,0.1,16,3.6,3000,0.72
08/06/1985,0,12.1,3,2000,0.48
09/06/1985,0,13.5,3.2,1870,0.4488
10/06/1985,0,15.4,3.5,1610,0.3864
11/06/1985,0,16.9,3.8,1480,0.3552
12/06/1985,10.2,17.2,3.8,1370,0.3288
13/06/1985,14.6,15.8,3.6,2130,0.5112
14/06/1985,0,14.3,3.4,3630,0.8712
15/06/1985,0,14.7,3.4,1870,0.4488
16/06/1985,0,19.7,4.3,1610,0.3864
17/06/1985,0,19.3,4.2,1480,0.3552
18/06/1985,0,16.9,3.8,1480,0.3552
19/06/1985,2.1,18.5,4.1,1480,0.3552
20/06/1985,9.1,12.5,3.1,1370,0.3288
21/06/1985,6.1,10.7,2.8,1740,0.4176
22/06/1985,11.4,10.7,2.7,1870,0.4488
23/06/1985,4.4,12.8,3.1,4830,1.1592
24/06/1985,0,15.2,3.6,2130,0.5112
25/06/1985,0,16.7,3.8,2130,0.5112
26/06/1985,0,20.1,4.4,1870,0.4488
27/06/1985,0,20.8,4.5,1870,0.4488
28/06/1985,0,20.7,4.5,1480,0.3552
29/06/1985,0,17.3,3.9,1480,0.3552
30/06/1985,0,18.1,4,1260,0.3024
01/07/1985,0,21.3,4.5,1150,0.276
02/07/1985,0,21.2,4.5,1040,0.2496
03/07/1985,0,21.6,4.6,930,0.2232
04/07/1985,0.1,23.5,5,930,0.2232
05/07/1985,10,18.9,4.1,930,0.2232
