date,P,T,E,Qls,Qmm
26/05/1984,0,6.6389,3.758,400810.4167,11.317
27/05/1984,0,10.2722,3.787,426579.5833,12.0446
28/05/1984,0,12.75835,3.815,521053.5417,14.7121
29/05/1984,0,14.68055,3.843,641300.2083,18.1073
30/05/1984,0.13,16.36945,3.87,747227.9167,21.0982
31/05/1984,2.78,16.60275,3.897,830251.6667,23.4424
01/06/1984,0.78,14.92225,3.923,873197.9167,24.655
02/06/1984,0.12,13.28335,3.949,847432.2917,23.9275
03/06/1984,2.25,11.82775,3.974,764405,21.5832
04/06/1984,0,12.60835,3.998,701420,19.8048
05/06/1984,0.48,14.01665,4.022,692831.4583,19.5623
06/06/1984,0,15.64445,4.045,710008.5417,20.0473
07/06/1984,0.9,17.0389,4.068,738639.375,20.8557
08/06/1984,2.55,16.25275,4.09,747227.9167,21.0982
09/06/1984,2.52,15.60555,4.112,710008.5417,20.0473
10/06/1984,7.55,15.16665,4.133,695693.125,19.6431
11/06/1984,6.32,10.3778,4.154,684242.9167,19.3198
12/06/1984,1.24,6.24725,4.173,538234.1667,15.1972
13/06/1984,0.1,8.7139,4.192,432302.9167,12.2062
14/06/1984,0.13,12.44165,4.211,389360.2083,10.9937
15/06/1984,0.51,14.89165,4.229,423714.375,11.9637
16/06/1984,1.99,16.39165,4.246,478110.8333,13.4996
17/06/1984,0.09,11.76945,4.263,503876.4583,14.2271
18/06/1984,9.35,10.35,4.279,460933.75,13.0146
19/06/1984,0.25,9.85,4.294,389360.2083,10.9937
20/06/1984,6.49,10.4889,4.309,337825.4167,9.5386
21/06/1984,1.38,10.6778,4.323,337825.4167,9.5386
22/06/1984,2.16,11.1889,4.337,320648.3333,9.0536
23/06/1984,6.83,11.71945,4.349,332102.0833,9.377
24/06/1984,3.16,8.5667,4.361,306332.9167,8.6494
25/06/1984,1.71,9.17225,4.373,279423.3333,7.8896
26/06/1984,0.78,8.875,4.383,262533.125,7.4127
27/06/1984,0.02,10.4139,4.394,239342.2917,6.7579
28/06/1984,0,14.1111,4.403,228175.4167,6.4426
29/06/1984,0,15.20835,4.412,254801.6667,7.1944
30/06/1984,0,14.19725,4.42,263390.2083,7.4369
01/07/1984,0.08,12.19725,4.427,255662.2917,7.2187
02/07/1984,0,11.29165,4.433,231040.625,6.5235
03/07/1984,0,12.3083,4.439,206705.8333,5.8364
04/07/1984,0,14.21945,4.445,193534.375,5.4645
05/07/1984,0.24,16.86945,4.449,191529.7917,5.4079
06/07/1984,3.92,18.93055,4.453,197543.5417,5.5777
07/07/1984,1.48,17.5,4.456,197543.5417,5.5777
08/07/1984,0.14,16.69165,4.459,181223.5417,5.1169
09/07/1984,0.84,14.4222,4.46,168625.8333,4.7612
10/07/1984,0,10.5722,4.461,147156.25,4.155
11/07/1984,1.25,12.68335,4.462,130836.25,3.6942
12/07/1984,0,16.8222,4.461,121673.9583,3.4355
13/07/1984,0.86,17.36945,4.46,118812.2917,3.3547
14/07/1984,0.21,15.6167,4.458,114803.125,3.2415
15/07/1984,0,14.0139,4.456,106501.4583,3.0071
16/07/1984,0,14.2194,4.453,98199.79167,2.7727
17/07/1984,0,14.10555,4.449,90755.20833,2.5625
18/07/1984,3.76,14.21665,4.444,84741.45833,2.3927
19/07/1984,6.33,8.60555,4.439,85028.33333,2.4008
20/07/1984,3.78,9.36945,4.433,86175.83333,2.4332
21/07/1984,7.96,10.4528,4.426,83023.75,2.3442
22/07/1984,0.3,12.2361,4.419,77300.41667,2.1826
23/07/1984,0.03,14.2889,4.411,68711.875,1.9401
24/07/1984,0.33,16.1861,4.402,64415.83333,1.8188
25/07/1984,0.04,15.4972,4.393,61841.04167,1.7461
26/07/1984,0.53,16.4278,4.383,58405.625,1.6491
27/07/1984,0.01,17.4972,4.372,54970.20833,1.5521
28/07/1984,0.13,16.8972,4.361,52391.875,1.4793
29/07/1984,0,18.35275,4.349,49243.33333,1.3904
30/07/1984,0.01,19.11945,4.336,46665,1.3176
31/07/1984,1.57,17.9917,4.322,44660.41667,1.261
01/08/1984,0.45,16.525,4.308,43803.33333,1.2368
02/08/1984,7.18,14.8972,4.294,40941.66667,1.156
03/08/1984,0.08,13.425,4.278,41225,1.164
04/08/1984,0,15.3222,4.262,38076.45833,1.0751
05/08/1984,0,16.7,4.245,35501.66667,1.0024
06/08/1984,0,17.63885,4.228,33497.08333,0.9458
07/08/1984,0,19.03055,4.21,31779.375,0.8973
08/08/1984,0,20.03055,4.191,30631.875,0.8649
09/08/1984,0.02,20.5389,4.172,29201.04167,0.8245
10/08/1984,0.01,19.20835,4.152,27826.875,0.7857
11/08/1984,0,19.1333,4.132,26739.58333,0.755
12/08/1984,0.04,18.2833,4.111,25652.29167,0.7243
13/08/1984,0.02,16.9083,4.089,24593.33333,0.6944
14/08/1984,0.01,17.2278,4.067,24334.79167,0.6871
15/08/1984,15.19,17.0111,4.044,24334.79167,0.6871
16/08/1984,0.78,15.525,4.021,32636.45833,0.9215
17/08/1984,0,14.53055,3.997,29487.91667,0.8326
18/08/1984,0,15.6389,3.972,25910.83333,0.7316
19/08/1984,1.32,15.8833,3.947,24076.25,0.6798
20/08/1984,1.63,16.52225,3.922,23821.25,0.6726
21/08/1984,0.22,16.75835,3.895,23562.70833,0.6653
22/08/1984,2.03,13.39725,3.869,22071.66667,0.6232
23/08/1984,1.11,11.225,3.841,22071.66667,0.6232
24/08/1984,0,13.35,3.814,21327.91667,0.6022
25/08/1984,0.01,15.37225,3.785,20353.95833,0.5747
26/08/1984,0,16.72775,3.757,19440.20833,0.5489
27/08/1984,0,17.8972,3.727,18522.91667,0.523
28/08/1984,0,18.8861,3.698,17864.16667,0.5044
29/08/1984,0.41,18.475,3.667,17205.41667,0.4858
30/08/1984,0.13,16.04725,3.637,16575,0.468
31/08/1984,0,11.20275,3.606,16575,0.468
01/09/1984,0,12.34725,3.574,16146.45833,0.4559
02/09/1984,0,12.7389,3.542,15516.04167,0.4381
03/09/1984,0,13.03055,3.509,15115.83333,0.4268
04/09/1984,0,13.62225,3.476,14715.625,0.4155
05/09/1984,2.19,11.14165,3.443,14513.75,0.4098
06/09/1984,2.39,8.51945,3.409,15317.70833,0.4325
07/09/1984,0,8.5972,3.375,16146.45833,0.4559
08/09/1984,0,12.1,3.341,15115.83333,0.4268
09/09/1984,0.19,11.36665,3.306,14113.54167,0.3985
10/09/1984,0.09,7.36665,3.271,13915.20833,0.3929
11/09/1984,7.52,9.0222,3.235,13915.20833,0.3929
12/09/1984,14.88,8.55555,3.199,16575,0.468
13/09/1984,0,8.9639,3.163,18066.04167,0.5101
14/09/1984,0,10.1028,3.127,16348.33333,0.4616
15/09/1984,0,10.94445,3.09,14715.625,0.4155
16/09/1984,0,12.6361,3.053,13915.20833,0.3929
17/09/1984,0.03,12.9167,3.015,13341.45833,0.3767
18/09/1984,0.1,11.59725,2.977,12597.70833,0.3557
19/09/1984,7.49,9.16945,2.939,13543.33333,0.3824
20/09/1984,7.6,6.0028,2.901,17007.08333,0.4802
21/09/1984,6.49,8.94445,2.863,17864.16667,0.5044
22/09/1984,0.44,7.11945,2.824,19897.08333,0.5618
23/09/1984,5.59,4.2278,2.785,18979.79167,0.5359
24/09/1984,7.3,2.64445,2.746,20842.70833,0.5885
25/09/1984,1.42,2.74725,2.707,19897.08333,0.5618
26/09/1984,0.04,3.2722,2.667,17864.16667,0.5044
27/09/1984,0.87,3.5222,2.627,17007.08333,0.4802
28/09/1984,0,1.91665,2.588,16575,0.468
29/09/1984,0,4.0389,2.548,15717.91667,0.4438
30/09/1984,0,7.61665,2.507,15115.83333,0.4268
01/10/1984,0,8.05,2.467,14945.83333,0.422
02/10/1984,0,8.25835,2.427,14945.83333,0.422
03/10/1984,0,8.9139,2.386,14772.29167,0.4171
04/10/1984,0,7.4528,2.346,14428.75,0.4074
05/10/1984,0,5.9778,2.305,14028.54167,0.3961
06/10/1984,0,5.19165,2.264,13656.66667,0.3856
07/10/1984,0,6.1611,2.224,13426.45833,0.3791
08/10/1984,0,7.51385,2.183,13284.79167,0.3751
09/10/1984,5.13,7.0083,2.142,13313.125,0.3759
10/10/1984,13.61,6.70275,2.101,17205.41667,0.4858
11/10/1984,0.82,6.7278,2.06,19468.54167,0.5497
12/10/1984,0,6.4361,2.02,17864.16667,0.5044
13/10/1984,4.11,5.97225,1.979,16376.66667,0.4624
14/10/1984,0.18,5.93615,1.938,15317.70833,0.4325
15/10/1984,0.07,5.325,1.897,15115.83333,0.4268
16/10/1984,0,4.72225,1.856,14715.625,0.4155
17/10/1984,0,4.89445,1.816,14513.75,0.4098
18/10/1984,0.14,3.9639,1.775,14113.54167,0.3985
19/10/1984,0,2.69725,1.735,13741.66667,0.388
20/10/1984,0.05,2.4389,1.694,13543.33333,0.3824
21/10/1984,0.09,4.0861,1.654,13543.33333,0.3824
22/10/1984,0.06,6.58335,1.614,13341.45833,0.3767
23/10/1984,5.66,4.3111,1.574,7501.25,0.2118
24/10/1984,0.1,1.95555,1.534,7816.458333,0.2207
25/10/1984,1.99,3.46665,1.495,13543.33333,0.3824
26/10/1984,4.67,2.39165,1.455,14315.41667,0.4042
27/10/1984,5.49,0.35835,1.416,15746.25,0.4446
28/10/1984,3.14,-0.8111,1.377,15317.70833,0.4325
29/10/1984,0.99,-3.57775,1.338,14715.625,0.4155
30/10/1984,0,-4.6889,1.299,13341.45833,0.3767
31/10/1984,0.02,-4.1222,1.261,12767.70833,0.3605
01/11/1984,3.97,-3.425,1.222,12767.70833,0.3605
02/11/1984,3.17,0.9472,1.184,17205.41667,0.4858
03/11/1984,0.77,2.58055,1.147,18781.45833,0.5303
04/11/1984,11.85,2.5028,1.109,18094.375,0.5109
05/11/1984,2.38,1.66945,1.072,24076.25,0.6798
06/11/1984,0.09,-1.1889,1.035,22071.66667,0.6232
07/11/1984,1.21,-0.25,0.999,18094.375,0.5109
08/11/1984,5.63,-0.5028,0.963,17435.625,0.4923
09/11/1984,0.68,-2.0778,0.927,17435.625,0.4923
10/11/1984,0.97,-1.075,0.891,15948.125,0.4503
11/11/1984,0.33,-1.58055,0.856,15516.04167,0.4381
12/11/1984,0,-1.60555,0.821,14917.5,0.4212
13/11/1984,0,-3.19725,0.787,14315.41667,0.4042
14/11/1984,0,-1.33055,0.753,13543.33333,0.3824
15/11/1984,0.86,-0.25555,0.719,14715.625,0.4155
16/11/1984,0,0.7,0.686,14513.75,0.4098
17/11/1984,0,-1.2861,0.653,13943.54167,0.3937
18/11/1984,2.05,-0.93055,0.62,13543.33333,0.3824
19/11/1984,0.37,-2.27775,0.588,13943.54167,0.3937
20/11/1984,0,-4.2222,0.557,13139.58333,0.371
21/11/1984,0,-5.375,0.526,12395.83333,0.35
22/11/1984,0,-6.3583,0.495,9906.041667,0.2797
23/11/1984,2.94,-7.6528,0.465,7501.25,0.2118
24/11/1984,0.67,-4.3611,0.435,7816.458333,0.2207
25/11/1984,27.87,-3.81945,0.406,15317.70833,0.4325
26/11/1984,13.02,-1.86665,0.377,21101.25,0.5958
27/11/1984,0.87,-5.69725,0.349,19011.66667,0.5368
28/11/1984,0.71,-7.8528,0.321,14315.41667,0.4042
29/11/1984,0.23,-6.01945,0.294,13741.66667,0.388
30/11/1984,0,-2.8056,0.267,13741.66667,0.388
01/12/1984,0,0.8722,0.241,14113.54167,0.3985
02/12/1984,17.87,-2.9722,0.215,15317.70833,0.4325
03/12/1984,0,-11.80835,0.19,13943.54167,0.3937
04/12/1984,0.02,-14.05,0.166,5468.333333,0.1544
05/12/1984,0.38,-13.51945,0.142,4866.25,0.1374
06/12/1984,2.61,-14.56945,0.118,4579.375,0.1293
07/12/1984,0.34,-16.25835,0.096,5153.125,0.1455
08/12/1984,0.73,-12.8278,0.073,6297.083333,0.1778
09/12/1984,0,-12.2361,0.052,7731.458333,0.2183
10/12/1984,0.36,-12.875,0.031,8588.541667,0.2425
11/12/1984,0.69,-12.6611,0.01,10880,0.3072
12/12/1984,2.16,-13.73055,0,16320,0.4608
13/12/1984,1.94,-13.125,0,20325.625,0.5739
14/12/1984,0.74,-11.07225,0,22903.95833,0.6467
15/12/1984,0,-11.76385,0,24047.91667,0.679
16/12/1984,3.03,-9.20835,0,26339.375,0.7437
17/12/1984,19.31,-3.3694,0,30061.66667,0.8488
18/12/1984,11.12,0.075,0,42942.70833,1.2125
19/12/1984,18.87,0.9722,0,48669.58333,1.3742
20/12/1984,14.49,1.31665,0,60123.33333,1.6976
21/12/1984,46.01,1.85835,0,83023.75,2.3442
22/12/1984,30.28,1.5722,0,103639.7917,2.9263
23/12/1984,6.89,1.43055,0,72434.16667,2.0452
24/12/1984,14.28,0.31385,0,72147.29167,2.0371
25/12/1984,0.5,0.2111,0,52678.75,1.4874
26/12/1984,0.2,2.03055,0,41225,1.164
27/12/1984,8.92,2.0278,0,36932.5,1.0428
28/12/1984,3.72,-0.23335,0,36932.5,1.0428
29/12/1984,0.5,-4.025,0,31492.5,0.8892
30/12/1984,2.22,-6.3639,0,27540,0.7776
31/12/1984,5.16,-4.82225,0,26452.70833,0.7469
01/01/1985,0.99,-4.17225,0,24851.875,0.7017
02/01/1985,9.5,-2.26945,0,24334.79167,0.6871
03/01/1985,0.55,-9.51665,0,20612.5,0.582
04/01/1985,1.65,-11.8667,0,15746.25,0.4446
05/01/1985,3.03,-10.65,0,12310.83333,0.3476
06/01/1985,1.08,-11.02225,0,10019.375,0.2829
07/01/1985,0.22,-13.00555,0,8875.416667,0.2506
08/01/1985,0,-12.0083,0,8588.541667,0.2425
09/01/1985,0,-12.0333,0,8730.208333,0.2465
10/01/1985,0,-11.21665,0,9162.291667,0.2587
11/01/1985,6.51,-10.0222,0,14602.29167,0.4123
12/01/1985,17.81,-3.1917,0,22043.33333,0.6224
13/01/1985,23.44,1.0417,0,40081.04167,1.1317
14/01/1985,6,2.8361,0,43516.45833,1.2287
15/01/1985,1.88,1.5611,0,44947.29167,1.2691
16/01/1985,15.17,2.3111,0,56401.04167,1.5925
17/01/1985,2.25,0.5972,0,64989.58333,1.835
18/01/1985,1.67,-0.65275,0,54683.33333,1.544
19/01/1985,6.57,-1.56945,0,47238.75,1.3338
20/01/1985,1.35,-3.11945,0,40081.04167,1.1317
21/01/1985,1.84,-2.39445,0,36358.75,1.0266
22/01/1985,0,-5.85835,0,31205.625,0.8811
23/01/1985,0,-3.5889,0,30061.66667,0.8488
24/01/1985,0.22,-2.49445,0,28630.83333,0.8084
25/01/1985,6.42,-1.44445,0,28630.83333,0.8084
26/01/1985,0.23,-3.4056,0,26711.25,0.7542
27/01/1985,0.52,-6.89725,0,23332.5,0.6588
28/01/1985,0,-5.9611,0,23073.95833,0.6515
29/01/1985,0.41,-6.14165,0,23073.95833,0.6515
30/01/1985,2.37,-3.08335,0,23591.04167,0.6661
31/01/1985,3.59,-1.8056,0,23073.95833,0.6515
01/02/1985,0,-4.25275,0,21586.45833,0.6095
02/02/1985,0,-4.8972,0,20385.83333,0.5756
03/02/1985,0,-4.53055,0,20385.83333,0.5756
04/02/1985,5.65,-2.5278,0,20385.83333,0.5756
05/02/1985,12.63,-4.3639,0,20612.5,0.582
06/02/1985,1.6,-6.2528,0,19698.75,0.5562
07/02/1985,0,-9.2389,0,16776.875,0.4737
08/02/1985,0,-9.4611,0,16146.45833,0.4559
09/02/1985,0,-9.45275,0.012,17205.41667,0.4858
10/02/1985,11.25,-6.2333,0.032,19925.41667,0.5626
11/02/1985,3.89,-2.925,0.053,19925.41667,0.5626
12/02/1985,0.09,-1.81945,0.075,18781.45833,0.5303
13/02/1985,0,-4.79445,0.097,17435.625,0.4923
14/02/1985,0,-4.4056,0.12,17435.625,0.4923
15/02/1985,0.37,-3.61945,0.143,17205.41667,0.4858
16/02/1985,0.19,-0.0528,0.167,17205.41667,0.4858
17/02/1985,8.55,-2.8139,0.192,17435.625,0.4923
18/02/1985,0.26,-2.0389,0.217,17633.95833,0.4979
19/02/1985,0,-4.1861,0.242,16575,0.468
20/02/1985,0,-2.55555,0.269,16575,0.468
21/02/1985,0,-2.8222,0.295,16376.66667,0.4624
22/02/1985,0,-1.84445,0.323,16776.875,0.4737
23/02/1985,0,0.1111,0.35,17205.41667,0.4858
24/02/1985,0,-1.5,0.379,17435.625,0.4923
25/02/1985,2.6,0.3,0.407,19011.66667,0.5368
26/02/1985,0.43,2.1556,0.437,20385.83333,0.5756
27/02/1985,1.16,3.04725,0.466,21845,0.6168
28/02/1985,1,2.3639,0.497,24334.79167,0.6871
01/03/1985,17.93,1.69445,0.527,28343.95833,0.8003
02/03/1985,0.52,-0.0722,0.558,30918.75,0.873
03/03/1985,0,-2.05,0.59,28343.95833,0.8003
04/03/1985,0,-1.41945,0.622,26452.70833,0.7469
05/03/1985,2.27,-0.33055,0.655,26452.70833,0.7469
06/03/1985,0.39,-1.2556,0.687,25135.20833,0.7097
07/03/1985,1.45,-0.73885,0.721,24334.79167,0.6871
08/03/1985,0.73,0.2889,0.754,23821.25,0.6726
09/03/1985,2.45,-0.7,0.789,24076.25,0.6798
10/03/1985,8.79,0.4222,0.823,24851.875,0.7017
11/03/1985,0.6,-0.825,0.858,25652.29167,0.7243
12/03/1985,0.43,-1.96945,0.893,24076.25,0.6798
13/03/1985,4.88,-1.0778,0.929,24076.25,0.6798
14/03/1985,0,-0.85,0.965,23332.5,0.6588
15/03/1985,0.66,0.79445,1.001,22588.75,0.6378
16/03/1985,0.33,2.3861,1.037,22588.75,0.6378
17/03/1985,6.41,1.85275,1.074,24334.79167,0.6871
18/03/1985,0,-2.1389,1.111,23591.04167,0.6661
19/03/1985,0,1.0611,1.149,23073.95833,0.6515
20/03/1985,3.13,2.2417,1.187,22588.75,0.6378
21/03/1985,8.06,2.2111,1.225,26711.25,0.7542
22/03/1985,16.51,1.53615,1.263,29201.04167,0.8245
23/03/1985,1.44,2.88055,1.301,29774.79167,0.8407
24/03/1985,0.49,2.1611,1.34,30061.66667,0.8488
25/03/1985,0.65,3.71665,1.379,31205.625,0.8811
26/03/1985,0.34,2.75555,1.418,36071.875,1.0185
27/03/1985,0.09,-0.1472,1.457,34927.91667,0.9862
28/03/1985,0.51,-0.6389,1.497,32636.45833,0.9215
29/03/1985,0,-0.89165,1.536,30631.875,0.8649
30/03/1985,0.49,-0.35555,1.576,29201.04167,0.8245
31/03/1985,6.03,0.0028,1.616,29201.04167,0.8245
01/04/1985,0.62,-1.2583,1.656,27798.54167,0.7849
02/04/1985,7.64,1.0972,1.697,26711.25,0.7542
03/04/1985,0.41,1.7833,1.737,26452.70833,0.7469
04/04/1985,0,4.09165,1.778,27540,0.7776
05/04/1985,0.69,5.2528,1.818,30348.54167,0.8569
06/04/1985,2.93,1.3861,1.859,34354.16667,0.97
07/04/1985,0.02,-2.94165,1.899,33210.20833,0.9377
08/04/1985,0,-0.03335,1.94,31779.375,0.8973
09/04/1985,0,4.0694,1.981,33783.95833,0.9539
10/04/1985,0,6.3583,2.022,38363.33333,1.0832
11/04/1985,0,5.7083,2.063,46094.79167,1.3015
12/04/1985,2.17,6.77225,2.104,60123.33333,1.6976
